caseidx,PhoneNumber,Trt,MobileCredit,Wave
43111,246811689,2,20GHS,2
43211,546981638/,2,20GHS,2
43214,508907346/,2,20GHS,2
43303,208834583/,2,20GHS,2
43409,247121457/,2,20GHS,2
43414,248199333,2,20GHS,2
43614,249010597,2,20GHS,2
43910,247121905/,2,20GHS,2
44007,200319064/,2,20GHS,2
44402,244633624/,2,20GHS,2
44602,240965560/,2,20GHS,2
45008,240753843/,2,20GHS,2
45102,245812503/,2,20GHS,2
45105,249605023/,2,20GHS,2
45604,547613653/,2,20GHS,2
45911,243230756/,2,20GHS,2
45913,241789919/,2,20GHS,2
46508,549984540/,2,20GHS,2
46513,541827167/,2,20GHS,2
46902,544364411/,2,20GHS,2
47507,248291242/,2,20GHS,2
47707,242137268/,2,20GHS,2
47814,546345114/,2,20GHS,2
48314,240225021/,2,20GHS,2
49311,544979450/,2,20GHS,2
49515,249850004/,2,20GHS,2
49715,542877805/,2,20GHS,2
50209,543553870/,2,20GHS,2
50511,247723911/,2,20GHS,2
50515,273632425/,2,20GHS,2
52014,245905673/,2,20GHS,2
52402,245633871/,2,20GHS,2
53304,244012522/,2,20GHS,2
53901,246452000/,2,20GHS,2
54008,244823679/,2,20GHS,2
54612,245230272/,2,20GHS,2
54907,243320497,2,20GHS,2
55202,244078271/,2,20GHS,2
56013,245647147/,2,20GHS,2
56105,544240365/,2,20GHS,2
56907,242857395/,2,20GHS,2
57115,244460176,2,20GHS,2
57315,267577734/,2,20GHS,2
58402,245548886/,2,20GHS,2
58801,540683085/,2,20GHS,2
59514,547437953/,2,20GHS,2
59615,549948853/,2,20GHS,2
60007,548479286/,2,20GHS,2
60714,548008287/,2,20GHS,2
61607,242687993/,2,20GHS,2
62202,248745672/,2,20GHS,2
62312,245378962,2,20GHS,2
62404,241080128/,2,20GHS,2
62510,241173058/,2,20GHS,2
62611,543801455/,2,20GHS,2
63001,543257665,2,20GHS,2
63104,543641091/,2,20GHS,2
63113,242543852/,2,20GHS,2
63401,208630762/,2,20GHS,2
63406,208531635/,2,20GHS,2
63704,209161500/,2,20GHS,2
64003,209148830/,2,20GHS,2
64004,505201009/,2,20GHS,2
64209,549097792/,2,20GHS,2
64215,200614117,2,20GHS,2
64607,264496479/,2,20GHS,2
64613,246698742/,2,20GHS,2
64801,208070670/,2,20GHS,2
64808,243375265/,2,20GHS,2
65015,206629782/,2,20GHS,2
65404,245196185/,2,20GHS,2
65502,549077230/,2,20GHS,2
65614,505247643/,2,20GHS,2
65805,248861744/,2,20GHS,2
66106,201685051/,2,20GHS,2
66506,553552119/,2,20GHS,2
66508,200352998/,2,20GHS,2
66809,545383287/,2,20GHS,2
67015,207872963/,2,20GHS,2
67410,506063480/,2,20GHS,2
67513,553466279/,2,20GHS,2
68107,246177752/,2,20GHS,2
68213,554634627/,2,20GHS,2
68215,243880185/,2,20GHS,2
68501,246056242/,2,20GHS,2
68506,507494222/,2,20GHS,2
68812,549082304/,2,20GHS,2
68912,275424810/,2,20GHS,2
69204,541399355/,2,20GHS,2
69210,541419128/,2,20GHS,2
69314,248566413/,2,20GHS,2
69406,240422846/,2,20GHS,2
69810,247501187,2,20GHS,2
69913,246689931/,2,20GHS,2
70015,541267307/,2,20GHS,2
70411,556492544/,2,20GHS,2
70804,246625524/,2,20GHS,2
70815,240922719/,2,20GHS,2
70906,241108331/,2,20GHS,2
71104,506239269/,2,20GHS,2
71301,245849925/,2,20GHS,2
71906,240148462/,2,20GHS,2
71912,556461724/,2,20GHS,2
71913,548989945/,2,20GHS,2
72003,243561908/,2,20GHS,2
72211,540965163/,2,20GHS,2
72212,207838265/,2,20GHS,2
72705,242534305,2,20GHS,2
72903,242817229/,2,20GHS,2
73010,245273699,2,20GHS,2
73114,548181813/,2,20GHS,2
73201,542877142/,2,20GHS,2
73403,205104238/,2,20GHS,2
73411,202818759/,2,20GHS,2
73506,249861748/,2,20GHS,2
73708,207514144/,2,20GHS,2
74213,249756007,2,20GHS,2
74306,248330248,2,20GHS,2
74310,244146422/,2,20GHS,2
74413,246506254/,2,20GHS,2
74605,247784917/,2,20GHS,2
75311,502636382/,2,20GHS,2
75410,205506351/,2,20GHS,2
75604,206169031/,2,20GHS,2
75803,202166014/,2,20GHS,2
76409,241258825/,2,20GHS,2
76609,540521464/,2,20GHS,2
76703,248055329/,2,20GHS,2
76805,541087541/,2,20GHS,2
77014,247536452/,2,20GHS,2
77210,241490551/,2,20GHS,2
77605,245953917,2,20GHS,2
78009,543118918/,2,20GHS,2
78501,246074995/,2,20GHS,2
78810,556821762/,2,20GHS,2
79114,540682463/,2,20GHS,2
80309,240717752/,2,20GHS,2
80507,243084111,2,20GHS,2
81610,204789755/,2,20GHS,2
81715,208820081/,2,20GHS,2
81914,205765251/,2,20GHS,2
82104,207556168/,2,20GHS,2
82401,245889465/,2,20GHS,2
82410,246060939/,2,20GHS,2
82812,269264022/,2,20GHS,2
82908,547062390,2,20GHS,2
83306,508617078/,2,20GHS,2
84102,247880692/,2,20GHS,2
84303,544434872/,2,20GHS,2
84504,208416866,2,20GHS,2
84504,208416866,2,20GHS,2
84915,248763842/,2,20GHS,2
85113,240393884/,2,20GHS,2
85115,507550352/,2,20GHS,2
85212,206445227/,2,20GHS,2
85902,209954100/,2,20GHS,2
86507,542381034/,2,20GHS,2
86510,248613411/,2,20GHS,2
86802,241455646/,2,20GHS,2
86910,549043556/,2,20GHS,2
87013,541478375/,2,20GHS,2
87415,201630710/,2,20GHS,2
87508,247840958/,2,20GHS,2
87614,209748887,2,20GHS,2
87915,546582590/,2,20GHS,2
88202,260585887/,2,20GHS,2
88302,241123072/,2,20GHS,2
88314,243362793/,2,20GHS,2
88505,249023048/,2,20GHS,2
88901,247994120/,2,20GHS,2
89102,207839721/,2,20GHS,2
89713,242060076/,2,20GHS,2
89714,545088170/,2,20GHS,2
89801,548517981/,2,20GHS,2
90009,245463533/,2,20GHS,2
90204,541011934/,2,20GHS,2
90415,241118818/,2,20GHS,2
90509,544058584/,2,20GHS,2
90604,241622987/,2,20GHS,2
91212,202973379/,2,20GHS,2
91509,202300457,2,20GHS,2
91609,554852424,2,20GHS,2
92703,544979263/,2,20GHS,2
93403,202470076/,2,20GHS,2
94412,547777671/,2,20GHS,2
95312,240416520/,2,20GHS,2
95402,247802211/,2,20GHS,2
95711,546889388/,2,20GHS,2
95811,246987739/,2,20GHS,2
96215,504381702/,2,20GHS,2
96708,244704586/,2,20GHS,2
97509,243833049/,2,20GHS,2
97605,247415914/,2,20GHS,2
97905,503413934/,2,20GHS,2
98003,549737210/,2,20GHS,2
99105,541639803/,2,20GHS,2
99603,207440936/,2,20GHS,2
100012,205696230/,2,20GHS,2
