caseidx,i11,caseidX,regionX,districtX,pov_likelihood,motherTogether,noReligion,female,spouseTogether,ageMarried,needToCOVID,unableToCOVID,unableCall7days,unableTrans7days,ct1a0,ct1b0,ct2a0,ct2b0,totExp7days,threatenPartner,hitPartner,logk10,severe_distress,tiredCOVID,awareofCOVID0,trustgovtCOVIDNos0,m110,m120,m130,m140,bd10,bd20,bd30,female0,akan0,married0,ageYrs0,jhs0,hhsize0,selfEmploy0,informal0,incomegrp0,self_hseWork0,Trt
1610,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",1610,Western,105,2.2,0,0,0,1,21,1,1,1,1,15,10,1,10,190,1,1,2.9957323,0,1,1,3,2,4,3,3,,,,0,1,1,30,1,4,1,1,2,0,2
1611,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",1611,Western,105,4.3000002,0,0,1,0,25,0,1,0,0,5,10,2,5,550,1,1,3.4657359,1,0,1,4,2,3,4,2,,,,1,1,0,38,1,4,1,1,1,1,0
2103,"Food insecurity[i.e., lack of consistent access to enough food going forward]",2103,Western,105,4.3000002,0,0,0,1,31,1,1,1,0,5,2,0,0,120,1,1,2.8332133,0,1,1,3,1,4,4,3,,,,1,0,1,36,1,5,1,1,1,0,0
2105,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",2105,Western,105,11.7,0,0,0,1,27,1,1,1,1,10,10,1,2,106,1,1,3.0445225,0,1,1,3,2,2,2,3,,,,0,1,0,32,1,4,1,1,2,0,0
2108,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",2108,Western,105,4.3000002,0,0,0,1,25,0,0,0,0,50,20,0,0,300,1,1,2.3978953,0,0,1,4,1,4,3,3,,,,0,0,1,67,1,14,1,1,1,0,2
2210,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",2210,Western,105,.80000001,0,0,0,1,33,1,0,0,0,30,10,0,0,300,1,1,2.3978953,0,0,1,4,1,3,5,5,,,,1,1,1,45,1,5,0,1,2,1,2
2215,"Food insecurity[i.e., lack of consistent access to enough food going forward]",2215,Western,105,7.1999998,0,0,0,1,22,0,1,1,1,0,0,0,0,205,1,1,3.0910425,0,1,1,4,2,2,4,3,,,,0,1,1,68,1,5,0,0,1,0,1
2314,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",2314,Western,105,.30000001,0,0,0,1,26,1,0,1,0,25,5,0,0,350,1,1,2.7725887,0,0,1,4,1,4,4,3,,,,0,1,1,68,1,3,0,0,1,0,1
2404,"Food insecurity[i.e., lack of consistent access to enough food going forward]",2404,Western,105,4.3000002,0,0,0,1,23,0,0,0,1,10,15,0,8,85,1,1,2.9444389,0,0,1,1,3,1,5,5,,,,0,0,1,58,1,9,1,1,2,0,2
2501,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",2501,Western,105,2.2,0,0,0,1,32,0,0,0,0,20,10,0,0,200,1,1,3.0445225,0,0,1,4,2,2,2,1,,,,0,0,1,55,1,5,0,1,1,0,2
2607,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",2607,Western,105,7.1999998,0,0,0,1,27,0,1,0,0,3,12,3,15,840,1,1,3.3672957,0,1,1,2,3,2,2,2,,,,0,1,1,61,1,3,1,1,1,0,2
2612,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",2612,Western,105,.80000001,0,1,0,1,28,1,1,1,1,5,2,0,0,1110,2,1,3.1354942,0,1,1,2,2,3,2,2,,,,0,1,1,9,1,5,1,1,1,0,1
2704,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",2704,Western,105,29,0,0,0,1,22,0,1,1,1,3,20,30,19,1450,1,1,2.8903718,0,1,1,3,2,4,3,3,,,,0,1,1,42,1,7,1,1,2,0,0
2707,"Food insecurity[i.e., lack of consistent access to enough food going forward]",2707,Western,105,11.7,0,0,0,1,,1,1,0,0,20,10,0,0,540,1,1,2.7080503,0,0,1,4,1,3,4,4,,,,0,1,1,42,1,8,1,1,2,0,1
2906,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",2906,Western,106,11.7,0,0,0,1,29,1,0,1,1,6,20,5,50,2550,1,1,2.9444389,0,1,1,4,1,2,2,1,,,,0,0,1,47,1,6,0,0,3,0,1
2910,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",2910,Western,106,11.7,0,0,0,1,25,1,1,1,0,8,15,0,0,270,1,1,2.3025851,0,1,1,3,1,2,1,1,,,,0,1,1,42,1,4,1,1,1,0,2
3002,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",3002,Western,108,4.3000002,0,0,0,1,32,1,1,0,0,17,10,0,0,155,1,1,2.7725887,0,0,1,3,1,4,4,3,,,,0,1,1,56,1,9,0,0,2,1,2
3005,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",3005,Western,108,0,0,0,0,1,25,1,0,1,0,5,0,10,100,400,1,1,2.8332133,0,0,1,4,1,3,3,2,,,,0,0,1,44,1,7,0,0,3,1,2
3101,"Food insecurity[i.e., lack of consistent access to enough food going forward]",3101,Western,109,4.3000002,0,0,0,1,26,0,0,0,1,0,10,0,0,120,1,1,2.3025851,0,1,1,2,1,1,5,1,,,,0,0,1,69,1,10,1,1,1,0,0
3111,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",3111,Western,109,1.1,0,0,0,1,28,1,1,1,0,10,10,0,0,250,1,1,3.0445225,0,1,1,3,2,4,3,2,,,,0,1,1,31,1,4,1,1,2,0,1
3405,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",3405,Western,111,2.2,1,0,1,0,29,1,1,0,0,10,5,0,0,200,1,1,2.3978953,0,0,1,4,1,5,2,3,,,,1,0,1,33,1,7,0,0,3,0,0
3412,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",3412,Western,111,2.2,0,0,0,1,30,1,1,1,1,70,5,0,0,600,1,1,2.8332133,0,1,1,4,1,1,2,2,,,,0,1,1,68,1,7,1,1,1,0,2
3504,Other specify,3504,Western,112,.80000001,0,0,0,1,22,0,0,0,0,20,20,0,0,70,1,1,2.7725887,0,0,1,4,1,5,3,2,,,,0,1,1,38,1,7,1,0,2,0,0
3514,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",3514,Western,112,19.6,0,1,0,1,22,1,1,1,1,10,2,0,0,700,1,1,2.5649493,0,1,1,4,1,3,3,1,,,,0,0,1,63,1,8,1,1,2,0,0
3601,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",3601,Western,114,7.1999998,0,1,0,1,31,1,0,1,1,10,8,0,10,45,2,1,2.9957323,0,1,1,4,2,3,4,5,,,,0,1,1,72,1,6,0,0,1,0,0
3705,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",3705,Western,114,7.1999998,0,0,0,1,24,1,1,1,1,7,7,0,8,90,1,1,3.0910425,0,1,1,2,3,1,2,4,,,,0,0,1,53,0,6,1,1,1,0,1
3902,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",3902,Western,115,7.1999998,0,0,0,1,25,0,0,0,1,70,10,0,0,254,1,1,2.6390574,0,0,1,4,1,4,3,3,,,,0,0,1,36,1,6,1,1,1,0,0
3913,Other specify,3913,Western,115,1.1,0,0,0,1,31,1,0,0,0,30,10,6,60,451,1,1,2.7080503,0,1,1,4,1,1,2,2,,,,0,1,1,47,1,7,0,1,3,0,1
4011,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",4011,Western,117,7.1999998,0,0,0,1,20,0,0,1,1,6,5,0,0,150,1,1,3.2580965,0,0,1,4,3,5,1,1,,,,0,0,1,47,1,6,1,1,1,0,0
4207,"Food insecurity[i.e., lack of consistent access to enough food going forward]",4207,Western,101,40.200001,0,0,0,1,27,1,1,1,0,0,100,25,55,3751,2,1,3.6109178,1,1,1,3,2,3,3,2,,,,0,1,1,40,1,8,1,1,1,0,1
4209,"Food insecurity[i.e., lack of consistent access to enough food going forward]",4209,Western,101,4.3000002,0,0,0,1,21,1,1,1,0,25,10,0,0,720,1,1,3.0445225,0,0,1,4,1,2,2,2,,,,0,1,1,57,1,8,1,1,1,1,1
4309,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",4309,Western,101,2.2,0,0,0,1,22,1,0,1,1,42,10,0,0,587,1,1,2.9957323,0,1,1,1,1,3,3,3,,,,0,1,0,28,1,5,1,1,2,0,2
4405,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",4405,Western,101,29,0,0,0,1,21,1,0,0,0,10,10,0,0,170,1,1,2.8903718,0,0,1,4,1,3,3,2,,,,0,0,1,48,1,4,1,1,1,0,2
4508,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",4508,Western,101,40.200001,0,0,1,0,16,0,0,1,0,3,2,0,0,65,1,1,3.0910425,0,1,1,4,1,4,5,1,,,,1,1,0,28,1,2,0,1,1,1,0
4702,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",4702,Western,102,11.7,0,0,0,1,20,1,0,1,0,20,10,0,0,330,1,1,2.7725887,0,1,1,4,1,4,4,2,,,,0,1,1,63,1,10,1,1,1,0,2
4714,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",4714,Western,102,2.2,0,0,0,1,29,1,1,0,0,50,70,2,15,320,1,1,2.3025851,0,1,1,4,1,5,4,4,,,,0,1,1,44,1,5,0,0,5,0,0
4901,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",4901,Western,103,53.299999,0,0,0,1,25,1,1,1,1,40,40,2,10,648,1,1,3.4657359,1,1,1,1,5,3,1,1,,,,0,0,1,35,1,10,1,1,1,0,2
4907,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",4907,Western,103,7.1999998,0,0,0,1,27,1,1,1,1,15,70,7,100,700,2,1,3.2188759,0,1,1,2,3,2,2,2,,,,0,1,1,30,1,5,1,1,1,0,1
5114,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",5114,Western,104,29,0,1,0,1,25,1,0,0,0,0,0,0,0,500,1,1,2.6390574,0,0,1,4,1,5,5,2,,,,0,1,1,38,0,4,1,0,1,0,2
5208,"Food insecurity[i.e., lack of consistent access to enough food going forward]",5208,Western,104,7.1999998,0,0,0,1,34,0,0,1,1,35,15,0,0,280,1,1,2.7725887,0,0,1,4,2,3,2,2,,,,0,1,1,55,1,4,0,0,1,1,0
5513,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",5513,Western,106,40.200001,0,0,0,1,32,0,0,1,1,50,10,0,0,410,1,1,2.7725887,0,1,1,4,1,4,3,2,,,,0,1,1,37,1,12,0,1,2,0,2
5602,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",5602,Western,106,.80000001,0,0,0,1,29,1,0,0,0,15,3,0,0,240,1,1,2.7080503,0,0,1,4,1,4,3,3,,,,0,0,1,42,1,5,0,0,3,0,0
5604,Other specify,5604,Western,106,53.299999,0,1,0,1,30,0,0,1,1,30,20,0,0,150,1,1,2.6390574,0,0,1,4,1,1,4,2,,,,0,0,1,59,0,8,0,1,1,0,0
5609,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",5609,Western,106,29,0,0,0,1,21,1,1,1,1,35,15,0,0,180,1,1,3.6635616,1,1,1,4,4,2,4,4,,,,0,0,1,60,1,6,1,1,1,0,1
5708,"Food insecurity[i.e., lack of consistent access to enough food going forward]",5708,Western,107,19.6,0,0,0,1,28,1,0,0,0,99,10,4,20,568,1,1,2.4849067,0,0,1,1,1,4,2,2,,,,0,0,1,55,1,6,1,0,5,0,1
5713,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",5713,Western,107,19.6,0,0,0,1,26,1,1,0,0,15,20,0,0,1070,1,1,2.3978953,0,1,1,4,1,5,4,3,,,,0,1,1,54,0,5,1,1,1,0,0
6102,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",6102,Western,108,63.799999,0,0,0,1,25,1,0,1,1,24,10,0,0,1141,4,5,3.6888795,1,1,1,3,4,1,5,5,,,,1,1,1,44,1,13,1,1,1,1,0
6115,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",6115,Western,108,2.2,0,0,0,1,31,1,1,1,0,0,0,0,0,260,1,1,2.3978953,0,1,1,4,1,5,4,4,,,,0,1,1,62,1,4,1,1,2,0,1
6204,Other specify,6204,Western,108,2.2,0,0,0,1,28,1,0,0,0,70,20,0,0,720,1,1,2.7080503,0,0,1,4,1,5,4,3,,,,0,1,1,46,1,7,0,0,5,0,1
6212,"Food insecurity[i.e., lack of consistent access to enough food going forward]",6212,Western,108,40.200001,0,0,0,1,19,1,1,1,0,3,2,0,0,50,1,1,3.4339871,1,0,1,4,3,3,4,1,,,,0,1,1,42,1,7,1,1,1,0,0
6402,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",6402,Western,109,53.299999,0,0,0,1,32,1,1,1,1,1,50,2,50,760,1,1,2.9444389,0,1,1,4,1,2,4,4,,,,0,1,1,52,1,6,1,1,2,0,2
6404,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",6404,Western,109,63.799999,0,1,0,1,22,1,0,0,0,0,5,2,4,1150,1,1,2.3025851,0,0,1,4,2,4,3,3,,,,0,1,1,37,1,7,1,1,2,0,2
6603,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",6603,Western,109,66.800003,0,0,0,1,30,1,1,1,0,5,5,0,0,100,1,1,2.9444389,0,1,1,3,2,3,2,2,,,,0,0,1,57,1,16,1,1,1,1,0
6607,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",6607,Western,109,40.200001,0,0,0,1,20,1,0,0,0,15,10,0,0,160,1,1,2.3025851,0,0,1,4,1,4,4,2,,,,0,1,1,56,1,6,1,1,1,0,1
6614,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",6614,Western,109,29,0,0,0,1,20,1,1,0,0,8,2,0,0,100,1,1,2.3025851,0,0,1,4,1,5,4,4,,,,0,1,1,47,1,6,1,1,1,0,1
6705,"Safety[i.e., being attacked by others(e.g. criminals, thieves, robbers, etc) due to COVID19 hardship]",6705,Western,109,19.6,0,0,0,1,26,1,1,1,0,10,5,0,0,1470,1,1,2.3978953,0,0,1,4,1,1,4,4,,,,0,1,1,42,1,6,1,1,1,0,2
6706,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",6706,Western,109,11.7,0,0,0,1,28,1,1,1,0,4,4,0,0,158,1,1,2.4849067,0,1,1,4,1,5,5,4,,,,0,1,1,30,1,4,0,0,1,0,0
6801,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",6801,Western,110,7.1999998,1,0,0,1,18,0,0,1,1,21,5,0,0,380,1,1,3.1780539,0,1,1,3,2,2,2,2,,,,0,1,1,53,1,8,0,0,1,0,0
6913,Other specify,6913,Western,110,4.3000002,0,0,0,0,30,0,0,0,1,20,30,0,0,300,1,1,2.8903718,0,0,1,4,1,5,4,4,,,,0,1,1,41,1,4,1,1,1,0,0
6914,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",6914,Western,110,7.1999998,0,0,0,1,25,1,1,1,0,5,20,0,0,450,1,1,2.7080503,0,0,1,4,1,4,1,1,,,,0,1,1,37,0,5,1,1,1,0,1
7004,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",7004,Western,110,29,0,0,0,1,26,0,0,1,1,20,20,0,0,120,1,1,2.9444389,0,0,1,4,1,5,1,1,,,,0,0,1,32,0,5,1,1,1,0,2
7111,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",7111,Western,111,1.1,0,0,0,1,32,1,1,0,1,99,20,0,0,380,1,1,2.7725887,0,1,1,4,1,4,3,3,,,,0,1,1,46,1,4,0,0,2,0,2
7201,"Food insecurity[i.e., lack of consistent access to enough food going forward]",7201,Western,111,7.1999998,1,0,0,1,30,1,1,1,1,0,35,25,15,2200,3,1,2.4849067,0,1,1,3,1,4,3,2,,,,0,1,1,40,1,13,1,1,4,0,1
7205,,7205,Western,111,7.1999998,0,0,1,0,25,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,1,,0,0,,,1
7214,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",7214,Western,111,63.799999,0,1,0,1,32,1,1,1,0,14,10,0,0,350,1,1,3.2188759,0,0,1,3,3,2,2,2,,,,0,0,1,60,1,7,1,1,1,1,0
7510,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",7510,Western,112,7.1999998,0,1,0,1,23,1,1,1,1,5,2,0,0,50,1,1,3.0445225,0,1,1,4,2,4,2,2,,,,0,1,1,32,1,4,1,1,1,0,1
7515,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",7515,Western,112,7.1999998,0,0,0,1,27,1,1,1,1,25,10,0,0,405,1,1,2.8332133,0,1,1,4,1,3,3,3,,,,0,1,0,9,1,3,1,1,2,1,2
7810,"Safety[i.e., being attacked by others(e.g. criminals, thieves, robbers, etc) due to COVID19 hardship]",7810,Western,113,66.800003,0,0,0,1,26,1,1,1,0,3,5,0,0,330,1,1,2.7080503,0,0,1,4,1,4,1,1,,,,0,1,1,49,1,6,1,1,1,0,0
7914,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",7914,Western,113,4.3000002,0,0,0,1,30,1,1,1,0,3,5,0,0,302,1,1,2.3025851,0,1,1,4,1,5,5,3,,,,0,1,1,56,1,6,1,1,3,0,2
8015,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",8015,Western,114,40.200001,0,0,0,1,22,1,0,0,0,4,5,0,0,330,1,1,2.5649493,0,0,1,4,1,4,4,3,,,,0,0,1,57,1,12,1,1,1,0,0
8101,"Food insecurity[i.e., lack of consistent access to enough food going forward]",8101,Western,114,40.200001,0,0,0,1,20,1,1,1,1,15,30,15,10,1450,1,1,3.2958369,0,1,1,3,4,4,2,1,,,,0,1,1,64,0,7,1,1,1,0,2
8104,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",8104,Western,114,29,0,1,0,1,30,1,0,0,0,30,8,0,0,65,1,1,2.3978953,0,1,1,4,1,5,4,2,,,,0,1,1,38,1,6,1,1,1,0,1
8115,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",8115,Western,114,4.3000002,0,0,0,1,24,1,0,1,1,6,10,0,0,75,1,1,2.3025851,0,1,1,4,1,1,1,2,,,,0,0,1,54,1,7,0,0,5,0,0
8212,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",8212,Western,114,29,0,0,0,1,30,1,1,0,0,10,100,5,25,2500,1,1,2.8332133,0,0,1,4,1,2,2,1,,,,0,1,1,52,1,9,1,1,1,0,2
8301,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",8301,Western,114,11.7,0,0,0,1,26,1,1,1,0,10,10,0,0,200,1,1,2.7080503,0,1,1,4,1,4,4,3,,,,0,0,1,65,1,4,1,1,1,0,2
8304,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",8304,Western,114,29,0,0,0,1,20,0,0,1,0,20,3,0,0,95,1,1,2.9957323,0,1,1,4,1,1,3,3,,,,0,0,1,31,1,4,0,1,1,0,1
8502,"Food insecurity[i.e., lack of consistent access to enough food going forward]",8502,Western,115,2.2,0,0,0,1,27,1,1,0,0,15,10,2,15,798,1,1,2.5649493,0,1,1,4,1,4,5,3,,,,0,1,1,31,1,5,1,1,1,0,2
8507,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",8507,Western,115,11.7,0,1,0,1,25,1,1,1,1,10,30,70,30,420,1,1,3.1780539,0,1,1,4,3,4,3,3,,,,0,1,1,55,1,7,1,1,1,0,1
8601,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",8601,Western,115,2.2,0,0,0,1,23,1,0,1,0,20,5,0,0,118,1,1,2.4849067,0,0,1,4,1,5,4,3,,,,0,1,1,30,1,3,0,1,3,0,2
8606,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",8606,Western,115,11.7,0,0,0,1,26,1,0,0,0,20,40,10,20,850,1,1,2.3978953,0,0,1,3,1,1,1,1,,,,0,1,1,45,1,18,1,1,1,0,0
8609,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",8609,Western,115,11.7,0,0,1,0,20,1,0,1,1,18,3,1,18,165,5,5,3.6375861,1,1,1,3,4,4,5,2,,,,1,1,0,59,1,5,1,1,2,0,0
8903,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",8903,Western,116,7.1999998,1,0,1,1,20,1,1,1,1,10,25,0,0,600,1,1,3.0910425,0,1,1,4,2,2,2,1,,,,1,1,1,49,1,7,1,1,1,1,2
9113,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",9113,Western,117,2.2,0,0,0,1,25,1,0,1,1,70,10,1,5,58,1,1,2.4849067,0,1,1,4,1,5,3,2,,,,0,1,1,50,1,5,1,1,2,0,2
9909,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",9909,Central,201,40.200001,0,1,0,1,29,1,1,1,1,10,10,0,0,90,2,1,2.6390574,0,1,1,1,2,1,2,1,,,,0,0,1,48,1,10,1,1,1,0,1
10003,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",10003,Central,201,19.6,0,0,1,0,30,0,1,1,0,7,9,0,4,180,1,1,3.5553482,1,1,1,2,4,3,3,1,,,,1,1,0,52,1,1,0,1,1,1,2
10011,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",10011,Central,201,4.3000002,0,0,1,0,25,1,1,1,1,28,10,0,0,210,1,1,2.8332133,0,1,1,4,2,3,1,1,,,,1,1,0,59,1,7,1,1,1,1,2
10107,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",10107,Central,201,29,0,0,0,1,28,1,1,1,1,21,20,14,20,550,1,1,3.7841897,1,1,1,2,4,2,1,1,,,,0,1,1,52,1,5,0,0,2,0,0
10213,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",10213,Central,202,1.1,0,0,0,1,28,0,0,0,0,35,20,1,5,240,1,1,2.3025851,0,0,1,4,1,5,5,3,,,,0,1,1,32,1,3,1,1,3,0,0
10302,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",10302,Central,202,53.299999,0,0,1,1,24,1,1,1,0,30,60,0,0,971,3,1,3.8286414,1,1,1,3,4,4,1,1,,,,1,1,0,58,1,12,1,1,1,1,0
